t,m,j,u,price
2009-10,Western,Goat Meat,Kg,4696.666667
2009-10,Western,Ground Nuts (in shell),Kg,914.5833333
2009-10,Western,Ground Nuts (pounded),Kg,2884.400779
2009-10,Western,Ground Nuts (shelled),Kg,2184.210526
2009-10,Western,Infant Formula,Kg,1800
2009-10,Western,Irish Potatoes,Kg,811.0576923
2009-10,Western,Maize (cobs),Kg,588.264254
2009-10,Western,Maize (flour),Kg,1089.71875
2009-10,Western,Maize (grains),Kg,475
2009-10,Western,Mangos,Kg,458.3163265
2009-10,Western,"Margarine, Butter, etc",Kg,4483.333317
2009-10,Western,Matoke,Kg,1032.150867
2009-10,Western,Millet,Kg,1107.961783
2009-10,Western,Onions,Kg,460.1899827
2009-10,Western,Oranges,Kg,613.75
2009-10,Western,Other Alcoholic Drinks,Kg,2750.406504
2009-10,Western,Other Drinks,Kg,667.8571429
2009-10,Western,Other Foods,Kg,
2009-10,Western,Other Fruits,Kg,1193.522009
2009-10,Western,Other Juice,Kg,
2009-10,Western,Other Meat,Kg,7333.333333
2009-10,Western,Other Tobacco,Kg,6124.600367
2009-10,Western,Other Vegetables,Kg,440.4880125
2009-10,Western,Passion Fruits,Kg,731.0273566
2009-10,Western,Peas,Kg,1871.428571
2009-10,Western,Pork,Kg,3938.888889
2009-10,Western,Restaurant (food),Kg,
2009-10,Western,Restaurant (soda),Kg,2373.260073
2009-10,Western,Rice,Kg,2000
2009-10,Western,Salt,Kg,1468.667605
2009-10,Western,Sim Sim,Kg,1953.846154
2009-10,Western,Sorghum,Kg,1087.499999
2009-10,Western,Sugar,Kg,2465.903308
2009-10,Western,Sweet Bananas,Kg,214.9411207
2009-10,Western,Sweet Potatoes (dry),Kg,175
2009-10,Western,Sweet Potatoes (fresh),Kg,563.4143222
2009-10,Western,Tea,Kg,1695.381525
2009-10,Western,Tomatoes,Kg,557.9781106
